Glyma.01G000100,965,1,0
Glyma.01G000200,8552,1,0
Glyma.01G000300,2198,1,0
Glyma.01G000400,5795,1,2
Glyma.01G000500,908,1,0
Glyma.01G000600,11751,2,0
Glyma.01G000700,12106,1,0
Glyma.01G000800,742,1,0
Glyma.01G000900,22808,1,0
Glyma.01G001000,5639,4,0
Glyma.01G001100,16780,4,2
Glyma.01G001200,4114,1,1
Glyma.01G001300,10966,2,1
Glyma.01G001400,344,1,0
Glyma.01G001500,13762,1,1
Glyma.01G001600,9127,2,2
Glyma.01G001700,4974,2,2
Glyma.01G001800,3005,1,2
Glyma.01G001900,4528,2,2
Glyma.01G002000,2664,1,1
Glyma.01G002100,6047,2,2
Glyma.01G002200,4152,1,2
Glyma.01G002300,4601,1,0
Glyma.01G002400,2705,1,2
Glyma.01G002500,901,1,0
Glyma.01G002600,1995,1,2
Glyma.01G002700,3421,1,2
Glyma.01G002800,602,1,2
Glyma.01G002900,3521,1,0
Glyma.01G003000,2001,1,1
Glyma.01G003100,2351,2,0
Glyma.01G003200,5030,3,0
Glyma.01G003300,1772,1,0
Glyma.01G003400,1786,1,2
Glyma.01G003500,2120,1,0
Glyma.01G003600,3104,1,2
Glyma.01G003700,5307,1,2
Glyma.01G003800,3140,3,2
Glyma.01G003900,2012,1,2
Glyma.01G004000,2314,1,2
Glyma.01G004100,5142,2,2
Glyma.01G004200,2302,4,1
Glyma.01G004300,1212,2,2
Glyma.01G004400,1885,1,0
Glyma.01G004500,3069,2,2
Glyma.01G004600,1182,1,2
Glyma.01G004700,3235,1,1
Glyma.01G004800,6000,2,2
Glyma.01G004900,1554,1,2
Glyma.01G005000,2040,1,0
Glyma.01G005100,2891,4,0
Glyma.01G005200,5327,1,2
Glyma.01G005300,2069,3,2
Glyma.01G005400,5115,2,2
Glyma.01G005500,6126,5,2
Glyma.01G005600,2003,2,1
Glyma.01G005700,3824,1,0
Glyma.01G005800,4654,1,2
Glyma.01G005900,3708,1,2
Glyma.01G006000,1333,1,2
Glyma.01G006100,10339,2,1
Glyma.01G006200,2716,1,2
Glyma.01G006300,1279,1,0
Glyma.01G006400,8562,3,2
Glyma.01G006500,27802,9,2
Glyma.01G006600,7793,2,2
Glyma.01G006700,5964,5,0
Glyma.01G006800,4679,3,2
Glyma.01G006900,3415,2,2
Glyma.01G007000,2290,2,1
Glyma.01G007100,1031,1,0
Glyma.01G007200,5339,3,2
Glyma.01G007300,4599,1,0
Glyma.01G007400,3582,1,1
Glyma.01G007500,3933,1,2
Glyma.01G007600,4289,1,0
Glyma.01G007700,2516,1,2
Glyma.01G007800,8620,1,1
Glyma.01G007900,5702,2,2
Glyma.01G008000,4185,2,0
Glyma.01G008100,4050,1,2
Glyma.01G008200,10412,1,2
Glyma.01G008300,2252,1,0
Glyma.01G008400,5120,2,2
Glyma.01G008500,4966,2,2
Glyma.01G008600,2439,1,1
Glyma.01G008700,12393,3,1
Glyma.01G008800,2608,2,2
Glyma.01G008900,8478,2,2
Glyma.01G009000,815,1,2
Glyma.01G009100,2454,1,0
Glyma.01G009200,1492,1,1
Glyma.01G009300,8677,1,2
Glyma.01G009400,6063,2,2
Glyma.01G009500,2229,1,0
Glyma.01G009600,3170,1,2
Glyma.01G009700,4313,1,1
Glyma.01G009800,3705,1,2
Glyma.01G009900,4321,1,2
Glyma.01G010000,5408,1,1
Glyma.01G010100,7051,3,2
Glyma.01G010200,4456,1,2
Glyma.01G010300,5654,2,2
Glyma.01G010400,4646,1,2
Glyma.01G010500,3422,1,2
Glyma.01G010600,2646,1,1
Glyma.01G010700,4402,1,2
Glyma.01G010800,7474,2,2
Glyma.01G010900,3809,2,2
Glyma.01G011000,664,1,2
Glyma.01G011100,4800,1,2
Glyma.01G011200,7179,4,2
Glyma.01G011300,2637,1,2
Glyma.01G011400,3419,1,2
Glyma.01G011500,3841,1,0
Glyma.01G011600,4657,1,2
Glyma.01G011700,1960,1,2
Glyma.01G011800,1448,1,0
Glyma.01G011900,6473,1,1
Glyma.01G012000,4403,1,2
Glyma.01G012100,5414,2,1
Glyma.01G012200,3259,1,0
Glyma.01G012300,1453,1,2
Glyma.01G012400,4148,1,2
Glyma.01G012500,4589,1,2
Glyma.01G012600,602,1,0
Glyma.01G012700,5146,1,0
Glyma.01G012800,4707,1,2
Glyma.01G012900,2034,1,0
Glyma.01G013000,535,1,0
Glyma.01G013100,3758,1,2
Glyma.01G013200,4640,1,0
Glyma.01G013300,7079,1,0
Glyma.01G013400,1830,1,0
Glyma.01G013500,8779,1,2
Glyma.01G013600,10270,4,2
Glyma.01G013700,730,1,0
Glyma.01G013800,2387,1,2
Glyma.01G013900,3430,2,1
Glyma.01G014000,4997,4,2
Glyma.01G014100,5414,8,2
Glyma.01G014200,10126,2,2
Glyma.01G014300,663,1,0
Glyma.01G014400,4337,2,2
Glyma.01G014500,3439,3,2
Glyma.01G014600,6943,6,2
Glyma.01G014700,6538,4,2
Glyma.01G014800,5027,1,0
Glyma.01G014900,4300,1,1
Glyma.01G015000,6379,1,2
Glyma.01G015100,3164,2,1
Glyma.01G015200,4073,1,0
Glyma.01G015300,1745,2,2
Glyma.01G015400,1104,1,1
Glyma.01G015500,3517,1,2
Glyma.01G015600,5293,1,2
Glyma.01G015700,3563,7,0
Glyma.01G015800,1013,1,1
Glyma.01G015900,3735,1,2
Glyma.01G016000,221,1,0
Glyma.01G016100,3317,1,1
Glyma.01G016200,3175,1,0
Glyma.01G016300,858,1,0
Glyma.01G016400,4124,2,0
Glyma.01G016500,9632,2,2
Glyma.01G016600,2502,1,2
Glyma.01G016700,1109,1,0
Glyma.01G016800,3474,1,1
Glyma.01G016900,4922,1,2
Glyma.01G017000,1479,1,2
Glyma.01G017100,3479,1,2
Glyma.01G017200,866,1,1
Glyma.01G017300,1672,2,1
Glyma.01G017400,3462,1,2
Glyma.01G017500,1258,1,0
Glyma.01G017600,994,1,0
Glyma.01G017700,2927,1,2
Glyma.01G017800,1248,2,2
Glyma.01G017900,1071,1,1
Glyma.01G018000,1532,2,2
Glyma.01G018100,898,2,0
Glyma.01G018200,1064,1,0
Glyma.01G018300,4196,1,2
Glyma.01G018400,1972,1,0
Glyma.01G018500,1041,1,2
Glyma.01G018600,3355,2,2
Glyma.01G018700,1990,2,1
Glyma.01G018800,1563,1,2
Glyma.01G018900,2857,1,0
Glyma.01G019000,3676,1,2
Glyma.01G019100,9589,3,0
Glyma.01G019200,7706,1,2
Glyma.01G019300,2848,1,0
Glyma.01G019400,4223,4,2
Glyma.01G019500,997,1,2
Glyma.01G019600,2710,1,1
Glyma.01G019700,1946,3,2
Glyma.01G019800,6029,2,2
Glyma.01G019900,4985,3,2
Glyma.01G020000,4000,1,0
Glyma.01G020100,8539,1,2
Glyma.01G020200,1181,1,1
Glyma.01G020300,8956,1,2
Glyma.01G020400,796,1,1
Glyma.01G020500,16780,2,2
Glyma.01G020600,815,1,3
Glyma.01G020700,866,1,2
Glyma.01G020800,8050,1,2
Glyma.01G020900,4847,1,1
Glyma.01G021000,2858,1,1
Glyma.01G021100,1702,1,2
Glyma.01G021200,6335,1,2
Glyma.01G021300,4329,1,2
Glyma.01G021400,5270,3,0
Glyma.01G021500,752,1,0
Glyma.01G021600,4439,2,2
Glyma.01G021700,2421,1,1
Glyma.01G021800,1085,1,0
Glyma.01G021900,1366,1,0
Glyma.01G022000,1161,1,0
Glyma.01G022100,987,1,2
Glyma.01G022200,788,1,0
Glyma.01G022300,2055,1,1
Glyma.01G022400,5508,1,2
Glyma.01G022500,5228,1,2
Glyma.01G022600,5507,1,2
Glyma.01G022700,5700,1,2
Glyma.01G022800,7065,2,0
Glyma.01G022900,4381,1,2
Glyma.01G023000,3159,3,2
Glyma.01G023100,3158,2,1
Glyma.01G023200,7497,3,2
Glyma.01G023300,4865,3,2
Glyma.01G023400,2430,1,0
Glyma.01G023500,6128,2,2
Glyma.01G023600,21592,2,2
Glyma.01G023700,9234,2,1
Glyma.01G023800,6450,1,2
Glyma.01G023900,8960,1,2
Glyma.01G024000,1431,1,2
Glyma.01G024100,2416,1,0
Glyma.01G024200,2609,1,0
Glyma.01G024300,2013,1,0
Glyma.01G024400,2370,1,0
Glyma.01G024500,1743,1,1
Glyma.01G024600,2448,1,2
Glyma.01G024700,2675,1,1
Glyma.01G024800,7281,1,1
Glyma.01G024900,1102,1,0
Glyma.01G025000,2241,1,2
Glyma.01G025100,1256,1,1
Glyma.01G025200,4905,1,1
Glyma.01G025300,2782,1,0
Glyma.01G025400,1548,1,2
Glyma.01G025500,2465,2,1
Glyma.01G025600,3193,1,1
Glyma.01G025700,155,1,0
Glyma.01G025800,1492,1,2
Glyma.01G025900,774,1,2
Glyma.01G026000,8293,4,2
Glyma.01G026100,3086,1,2
Glyma.01G026200,7964,1,1
Glyma.01G026300,2757,1,0
Glyma.01G026400,2332,1,1
Glyma.01G026500,2891,1,2
Glyma.01G026600,1109,1,2
Glyma.01G026700,7498,3,2
Glyma.01G026800,4209,1,2
Glyma.01G026900,3392,1,0
Glyma.01G027000,2227,1,2
Glyma.01G027100,4437,1,1
Glyma.01G027200,1743,4,0
Glyma.01G027300,4792,1,2
Glyma.01G027400,3788,1,2
Glyma.01G027500,2804,1,2
Glyma.01G027600,3465,1,0
Glyma.01G027700,3086,1,2
Glyma.01G027800,4887,1,2
Glyma.01G027900,3259,1,2
Glyma.01G028000,3564,1,0
Glyma.01G028100,5420,4,2
Glyma.01G028200,3518,5,2
Glyma.01G028300,8770,1,2
Glyma.01G028400,1196,1,0
Glyma.01G028500,1528,1,1
Glyma.01G028600,4829,1,2
Glyma.01G028700,6302,1,2
Glyma.01G028800,1314,1,2
Glyma.01G028900,4221,1,2
Glyma.01G029000,2751,1,2
Glyma.01G029100,5848,1,2
Glyma.01G029200,1468,1,0
Glyma.01G029300,2572,2,1
Glyma.01G029400,1322,1,0
Glyma.01G029500,4721,5,2
Glyma.01G029600,3434,1,1
Glyma.01G029700,1889,1,0
Glyma.01G029800,3060,4,0
Glyma.01G029900,5207,3,2
Glyma.01G030000,1060,1,2
Glyma.01G030100,1188,1,0
Glyma.01G030200,5706,1,2
Glyma.01G030300,1468,1,2
Glyma.01G030400,4751,3,1
Glyma.01G030500,11065,4,2
Glyma.01G030600,3482,1,0
Glyma.01G030700,318,1,0
Glyma.01G030800,7474,2,0
Glyma.01G030900,3179,2,2
Glyma.01G031000,1968,1,0
Glyma.01G031100,823,1,0
Glyma.01G031200,2975,2,2
Glyma.01G031300,2721,1,2
Glyma.01G031400,6467,4,2
Glyma.01G031500,4344,2,2
Glyma.01G031600,2844,1,0
Glyma.01G031700,3272,1,2
Glyma.01G031800,6027,2,1
Glyma.01G031900,5375,1,2
Glyma.01G032000,3357,1,2
Glyma.01G032100,13046,1,2
Glyma.01G032200,1849,1,2
Glyma.01G032300,2346,1,0
Glyma.01G032400,6622,2,0
Glyma.01G032500,10517,1,2
Glyma.01G032600,2479,1,2
Glyma.01G032700,379,1,0
Glyma.01G032800,1409,1,0
Glyma.01G032900,4237,1,2
Glyma.01G033000,2777,1,0
Glyma.01G033100,2409,1,0
Glyma.01G033200,6482,1,2
Glyma.01G033300,4664,1,0
Glyma.01G033400,1301,1,0
Glyma.01G033500,5532,1,3
Glyma.01G033600,293,1,0
Glyma.01G033700,6638,1,3
Glyma.01G033800,3684,1,0
Glyma.01G033900,4304,1,0
Glyma.01G034000,2016,1,0
Glyma.01G034100,5534,4,2
Glyma.01G034200,7023,2,2
Glyma.01G034300,6312,2,2
Glyma.01G034400,1751,1,0
Glyma.01G034500,2485,2,0
Glyma.01G034600,2349,1,1
Glyma.01G034700,2655,1,0
Glyma.01G034800,1774,1,0
Glyma.01G034900,2356,1,2
Glyma.01G035000,4777,5,2
Glyma.01G035100,5641,6,2
Glyma.01G035200,4397,1,0
Glyma.01G035300,1830,1,1
Glyma.01G035400,4361,1,0
Glyma.01G035500,170,1,0
Glyma.01G035600,3033,1,1
Glyma.01G035700,3732,1,2
Glyma.01G035800,1373,1,0
Glyma.01G035900,1233,1,0
