Phvul.008G209300  Phvul.008G075800  Phvul.001G115900  Phvul.009G210500  Phvul.008G209500  Phvul.005G100200  Phvul.001G157000  Phvul.005G049200  Phvul.004G104500  Phvul.002G088800  Phvul.008G276900  Phvul.006G015800  Phvul.010G109800  Phvul.002G093800  Phvul.002G099800  Phvul.011G191000  Phvul.011G116200  Phvul.011G162400  Phvul.008G209400  Phvul.007G142400  Phvul.002G118600  Phvul.006G020100  Phvul.007G137200  Phvul.007G110200  Phvul.002G129300  Phvul.011G132200  Phvul.006G036900  Phvul.003G065600  Phvul.007G146600  Phvul.004G040500  Phvul.002G203500  Phvul.004G040400  Phvul.001G140400  Phvul.007G132800 ,34
Phvul.006G086300  Phvul.011G176000  Phvul.L000600  Phvul.010G029500  Phvul.008G164400  Phvul.001G088300  Phvul.007G115700  Phvul.002G156300  Phvul.002G139600  Phvul.011G105300  Phvul.007G107000  Phvul.001G154000  Phvul.010G016100  Phvul.008G071100  Phvul.010G066000  Phvul.005G121500  Phvul.L004200  Phvul.003G114600  Phvul.009G210700  Phvul.002G230500  Phvul.004G168300  Phvul.002G217700  Phvul.006G011800  Phvul.002G200500  Phvul.001G053800  Phvul.004G105300  Phvul.002G067600  Phvul.001G126500  Phvul.008G116900  Phvul.005G026500 ,30
Phvul.008G062800  Phvul.L001600  Phvul.011G171500  Phvul.011G168800  Phvul.L001200  Phvul.011G123100  Phvul.011G171900  Phvul.011G114700  Phvul.L001700  Phvul.011G123000  Phvul.008G177700  Phvul.004G097900  Phvul.L001500  Phvul.008G062900  Phvul.011G169100  Phvul.011G122400  Phvul.008G063600  Phvul.008G063700  Phvul.008G131900  Phvul.008G123100  Phvul.003G123700  Phvul.008G064000  Phvul.008G063500  Phvul.008G063100  Phvul.008G064200  Phvul.008G063400  Phvul.008G064500  Phvul.008G064300  Phvul.008G064100  Phvul.008G063900 ,30
Phvul.006G022100  Phvul.008G129400  Phvul.010G083800  Phvul.003G110700  Phvul.010G084700  Phvul.008G165300  Phvul.010G071400  Phvul.002G169500  Phvul.009G192600  Phvul.003G066100  Phvul.009G180100  Phvul.005G038000  Phvul.008G167900  Phvul.006G011400  Phvul.009G207400  Phvul.008G181700  Phvul.007G097500  Phvul.006G024500  Phvul.008G181300  Phvul.008G169700  Phvul.007G165500  Phvul.009G017400 ,22
Phvul.010G036700  Phvul.006G011500  Phvul.001G081100  Phvul.010G071200  Phvul.008G195200  Phvul.006G023800  Phvul.008G120900  Phvul.004G125000  Phvul.011G132400  Phvul.010G085400  Phvul.011G125000  Phvul.002G137200  Phvul.010G047300  Phvul.001G065800  Phvul.002G096200  Phvul.007G098300  Phvul.008G129600  Phvul.001G122500  Phvul.005G068400  Phvul.003G023200 ,20
Phvul.011G181500  Phvul.011G181700  Phvul.005G014000  Phvul.011G203000  Phvul.010G004900  Phvul.010G004600  Phvul.006G066800  Phvul.011G202300  Phvul.010G004700  Phvul.011G202900  Phvul.011G201100  Phvul.011G202600  Phvul.011G202100  Phvul.011G202400 ,14
Phvul.008G198900  Phvul.008G197700  Phvul.008G198300  Phvul.001G062300  Phvul.008G197800  Phvul.008G198500  Phvul.008G198700  Phvul.008G198400  Phvul.L007100  Phvul.008G198600  Phvul.001G062200  Phvul.001G062500  Phvul.008G198000 ,13
Phvul.L007900  Phvul.011G188200  Phvul.011G188100  Phvul.003G137900  Phvul.011G126800  Phvul.003G138000  Phvul.011G187900  Phvul.011G188000  Phvul.011G186200  Phvul.011G188300  Phvul.011G186300  Phvul.011G186400  Phvul.011G126900 ,13
Phvul.004G051500  Phvul.004G050300  Phvul.004G064200  Phvul.004G050400  Phvul.004G051900  Phvul.006G031400  Phvul.004G051300  Phvul.004G031800  Phvul.004G051400  Phvul.006G031300  Phvul.004G030600  Phvul.004G030900 ,12
Phvul.004G036500  Phvul.004G015200  Phvul.004G016300  Phvul.004G036400  Phvul.004G016400  Phvul.004G015400  Phvul.004G015000  Phvul.004G096100  Phvul.004G015100  Phvul.004G015500  Phvul.004G032700  Phvul.004G018800 ,12
